年份,總計
1970,14675964
1971,14994823
1972,15367774
1973,15642467
1974,15927167
1975,16223089
1976,16579737
1977,16882053
1978,17202491
1979,17543067
1980,17866008
1981,18193955
1982,18515754
1983,18790538
1984,19069194
1985,19313825
1986,19509082
1987,19725010
1988,19954397
1989,20156587
1990,20401305
1991,20605831
1992,20802622
1993,20995416
1994,21177874
1995,21357431
1996,21525433
1997,21742815
1998,21928591
1999,22092387
2000,22276672
2001,22405568
2002,22520776
2003,22604550
2004,22689122
2005,22770383
2006,22876527
2007,22958360
2008,23037031
2009,23119772
2010,23162123
2011,23224912
2012,23315822
2013,23373517
2014,23433753
2015,23492074
2016,23539816
2017,23571227
2018,23588932
2019,23603121
2020,23561236
2021,23375314
2022,23264640
2023,23420442
2024,23402648
